feed_id,billing_date,source_count,target_count,file_count,update_dt,version,version_type,version_status,feed_file_prefix
4001,2025-01-01,220837,67969,67969,2025-01-01 23:16:03,1,FULL,INACTIVE,BILLING_AU
4001,2025-01-01,220837,67969,67969,2025-01-01 23:16:22,2,FULL,ACTIVE,BILLING_AU
4001,2025-01-02,199229,122585,122585,2025-01-02 21:37:53,1,FULL,ACTIVE,BILLING_AU
4001,2025-01-03,271490,258798,258798,2025-01-03 21:12:52,1,FULL,ACTIVE,BILLING_AU
4001,2025-01-04,114101,75621,75621,2025-01-04 21:11:14,1,FULL,ACTIVE,BILLING_AU
4001,2025-01-05,187131,131511,131511,2025-01-05 21:00:52,1,FULL,ACTIVE,BILLING_AU
4001,2025-01-06,267600,211931,211931,2025-01-06 21:21:29,1,FULL,INACTIVE,BILLING_AU
4001,2025-01-06,267600,211931,211931,2025-01-06 21:20:59,2,INCR,ACTIVE,BILLING_AU
4001,2025-01-07,162562,78225,78225,2025-01-07 21:14:34,1,FULL,INACTIVE,BILLING_AU
4001,2025-01-07,162562,78225,78225,2025-01-07 23:45:33,2,INCR,INACTIVE,BILLING_AU
4001,2025-01-07,162562,78225,78225,2025-01-07 22:20:42,3,INCR,ACTIVE,BILLING_AU
4001,2025-01-08,115236,13527,13527,2025-01-08 21:59:01,1,FULL,INACTIVE,BILLING_AU
4001,2025-01-08,115236,13527,13527,2025-01-08 21:34:43,2,INCR,ACTIVE,BILLING_AU
4001,2025-01-09,69682,20725,20725,2025-01-09 21:17:21,1,FULL,ACTIVE,BILLING_AU
4001,2025-01-10,183504,25411,25411,2025-01-10 21:09:32,1,FULL,INACTIVE,BILLING_AU
4001,2025-01-10,183504,25411,25411,2025-01-10 22:03:42,2,INCR,INACTIVE,BILLING_AU
4001,2025-01-10,183504,25411,25411,2025-01-10 21:30:14,3,FULL,ACTIVE,BILLING_AU
4001,2025-01-11,182658,33512,33512,2025-01-11 23:14:45,1,FULL,ACTIVE,BILLING_AU
4001,2025-01-12,70211,12906,12906,2025-01-12 21:23:39,1,FULL,INACTIVE,BILLING_AU
4001,2025-01-12,70211,12906,12906,2025-01-12 23:21:38,2,INCR,ACTIVE,BILLING_AU
4001,2025-01-13,193275,51303,51303,2025-01-13 22:40:06,1,FULL,ACTIVE,BILLING_AU
4001,2025-01-14,288805,176453,176453,2025-01-14 21:59:33,1,FULL,ACTIVE,BILLING_AU
4001,2025-01-15,259551,116133,116133,2025-01-15 23:37:59,1,FULL,INACTIVE,BILLING_AU
4001,2025-01-15,259551,116133,116133,2025-01-15 22:12:56,2,FULL,ACTIVE,BILLING_AU
4001,2025-01-16,150558,129602,129602,2025-01-16 21:38:01,1,FULL,INACTIVE,BILLING_AU
4001,2025-01-16,150558,129602,129602,2025-01-16 23:21:14,2,INCR,ACTIVE,BILLING_AU
4001,2025-01-17,52706,39423,39423,2025-01-17 23:36:08,1,FULL,ACTIVE,BILLING_AU
4001,2025-01-18,72266,50206,50206,2025-01-18 21:40:17,1,FULL,INACTIVE,BILLING_AU
4001,2025-01-18,72266,50206,50206,2025-01-18 23:26:52,2,INCR,ACTIVE,BILLING_AU
4001,2025-01-19,262812,166509,166509,2025-01-19 22:07:00,1,FULL,ACTIVE,BILLING_AU
4001,2025-01-20,230372,15800,15800,2025-01-20 23:45:48,1,FULL,INACTIVE,BILLING_AU
4001,2025-01-20,230372,15800,15800,2025-01-20 22:06:55,2,INCR,INACTIVE,BILLING_AU
4001,2025-01-20,230372,15800,15800,2025-01-20 22:03:20,3,INCR,ACTIVE,BILLING_AU
4001,2025-01-21,116387,74837,74837,2025-01-21 23:04:23,1,FULL,INACTIVE,BILLING_AU
4001,2025-01-21,116387,74837,74837,2025-01-21 22:32:17,2,FULL,ACTIVE,BILLING_AU
4001,2025-01-22,142146,68004,68004,2025-01-22 23:52:02,1,FULL,INACTIVE,BILLING_AU
4001,2025-01-22,142146,68004,68004,2025-01-22 21:05:07,2,FULL,ACTIVE,BILLING_AU
4001,2025-01-23,125963,12564,12564,2025-01-23 22:38:28,1,FULL,INACTIVE,BILLING_AU
4001,2025-01-23,125963,12564,12564,2025-01-23 23:30:39,2,INCR,INACTIVE,BILLING_AU
4001,2025-01-23,125963,12564,12564,2025-01-23 23:31:03,3,INCR,ACTIVE,BILLING_AU
4001,2025-01-24,292726,208420,208420,2025-01-24 22:26:09,1,FULL,ACTIVE,BILLING_AU
4001,2025-01-25,274150,229403,229403,2025-01-25 23:49:05,1,FULL,ACTIVE,BILLING_AU
4001,2025-01-26,148145,139345,139345,2025-01-26 21:58:12,1,FULL,ACTIVE,BILLING_AU
4001,2025-01-27,130129,13271,13271,2025-01-27 22:59:22,1,FULL,ACTIVE,BILLING_AU
